Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88.6,1,4,,,,2,FALSE,FALSE,1|2,3,82,3,0,2,9|2|4|5|6,,1,3,28,11|12,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,47,23/09/2019
,71.9,1,3,,,,1,FALSE,FALSE,2,2,93,3,0,2,9|2,,0,,13,7,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,85.5,1,4,,,,1,FALSE,FALSE,2,3,100,3,0,2,9,,0,2,6,3,2,TRUE,2,1,TRUE,TRUE,5,,FALSE,1,47,FALSE,FALSE,FALSE,89,16/12/2019
,83.1,1,2,,,,1,FALSE,FALSE,1|2|4,2,72,3,0,2,9|4|6,,0,2,62,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,82,29/10/2019
,50.9,1,2,,,,1,FALSE,FALSE,0,2,99,3,0,2,8|2|3,,0,2,66,7,3,FALSE,2,4,TRUE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,38,16/09/2019
,65.8,1,4,,,,1,FALSE,FALSE,0,1,101,3,0,2,8|2|5|6,,1,1,36,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,34,09/09/2019
,50.8,2,4,,,,1,FALSE,FALSE,2,1,55,3,0,2,8|2|4|5|6,,1,,29,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,27,FALSE,FALSE,FALSE,142,28/12/2019
,88.9,1,2,,,,0,FALSE,FALSE,3|4,2,108,3,0,2,9,,0,,0,11,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,70.7,2,4,,,,1,FALSE,FALSE,2,3,78,2,0,2,8|2|5|6,,0,1,9,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,37,FALSE,FALSE,FALSE,47,23/10/2019
,73.7,2,4,,,,2,FALSE,FALSE,2,3,71,2,0,2,8,,0,,8,3,2,FALSE,1,0,FALSE,FALSE,18|17,,,1,5,FALSE,FALSE,FALSE,,
,88.2,1,4,,,,1,FALSE,FALSE,1|2,2,144,3,0,2,8|2|5|6,,0,1,5,3,2,TRUE,2,0,FALSE,FALSE,3,,TRUE,1,9,TRUE,FALSE,TRUE,,
,70.3,2,2,,,,2,FALSE,FALSE,1|2,2,64,3,0,2,9|2|3,,0,2,10,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,59.1,1,4,,,,1,FALSE,FALSE,1|4,1,74,3,0,2,8|4|5|6,,1,2,57,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,52,23/09/2019
,52.2,2,4,,,,1,FALSE,FALSE,2,1,60,2,0,2,8|2|6,,0,1,2,11|12,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,64.8,1,4,,,,2,FALSE,FALSE,2|4,2,147,3,0,2,8|2|3,,0,1,11,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,35,05/09/2019
,65.7,1,2,,,,3,FALSE,TRUE,2|4,2,118,2,0,2,8|2|5|6,,0,2,7,3,3,TRUE,1,,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,74,14/10/2019
,71.3,2,4,,,,1,FALSE,FALSE,1|2,2,60,4,0,2,8|2|6,,0,2,14,7,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,46,FALSE,FALSE,FALSE,4,04/09/2019
,79.1,2,4,,,,2,FALSE,FALSE,2|4|5|8,2,96,3,1,2,4|7,,0,,20,3,2,TRUE,1,0,FALSE,FALSE,3,,,1,5,FALSE,TRUE,FALSE,,
,83.5,1,4,,,,1,FALSE,FALSE,1|2|3|6,1,119,3,0,2,8|2|5|6,,0,2,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,FALSE,83,24/10/2019
,64.7,1,4,,,,1,FALSE,FALSE,3,1,78,3,0,2,9|2|5|6,,0,1,3,11,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,58,23/09/2019
,62.5,1,4,,,,1,FALSE,FALSE,2,2,65,3,0,2,8|2,,0,,23,3,2,FALSE,1,0,FALSE,FALSE,0,,,1,2,FALSE,FALSE,FALSE,,
,67.3,2,4,,,,5,FALSE,FALSE,1|2|4,1,80,4,0,2,9|2,,0,2,7,3,2,TRUE,2,1,FALSE,FALSE,17,,FALSE,1,2,FALSE,FALSE,FALSE,,
,76.8,1,4,,,,1,FALSE,FALSE,2|4,2,46,3,0,2,9|2|4|5|6,,0,2,11,3,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,135,11/12/2019
,54.2,2,4,,,,1,FALSE,TRUE,2|3|4,1,47,3,0,2,8|2|4|5|6,,0,,1,11,1,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,68,02/10/2019
,66.3,1,2,,,,1,FALSE,FALSE,2|4,2,77,3,0,2,9|2|3|4|5|6,,0,1,51,7|3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,67,30/09/2019
,70.1,1,2,,,,1,FALSE,FALSE,1|2,3,87,2,0,2,9|2|5|6,,0,1,10,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,70,03/10/2019
,83.8,2,4,,,,1,FALSE,FALSE,2,3,62,3,0,2,8|5|6,,0,,6,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,,
,64.4,2,4,,,,1,FALSE,FALSE,1,1,104,3,0,2,8,,0,2,38,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,0,25/07/2019
,79,1,4,,,,0,FALSE,FALSE,0,3,66,3,0,2,8|2,,0,,0,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,53,1,3,,,,1,FALSE,FALSE,0,1,95,2,0,2,8|2,,0,,22,3,2,TRUE,2,1,FALSE,FALSE,17,,FALSE,1,3,FALSE,FALSE,FALSE,,
,74,2,4,,,,2,FALSE,FALSE,1|2|3,2,80,3,0,2,8|5|6,,1,1,8,3,2,TRUE,1,0,FALSE,FALSE,17,,FALSE,1,24,FALSE,FALSE,FALSE,6,19/08/2019
,71.7,1,4,,,,1,FALSE,FALSE,2,2,91,3,0,2,8|2|4|5|6,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,,
,81.5,1,4,,,,2,FALSE,FALSE,2|4,2,133,3,0,2,8|2|4|5|6,,0,2,11,3,2,TRUE,1,0,FALSE,FALSE,0,,TRUE,1,3,TRUE,FALSE,FALSE,54,16/09/2019
,80.8,2,4,,,,0,FALSE,FALSE,2|4,2,145,3,0,2,9|2,,0,2,11,3,2,TRUE,4,,FALSE,FALSE,0,,FALSE,1,18,FALSE,FALSE,FALSE,85,22/10/2019
,56.3,1,4,,,,1,FALSE,FALSE,2,2,76,3,0,2,8|3|5|6,,1,2,42,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,69.6,1,4,,,,3,FALSE,FALSE,2,2,99,3,1,2,2|3|8,,0,,24,3|11,2,TRUE,4,3,FALSE,FALSE,1,,,1,6,FALSE,FALSE,TRUE,,
,74.1,2,4,,,,1,FALSE,FALSE,0,2,74,3,0,2,8|2|4|5|6,,0,2,51,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,49,10/09/2019
,65.8,1,4,,,,1,FALSE,FALSE,2,3,148,3,0,2,8|2|3,,0,,6,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,FALSE,51,12/09/2019
,79.4,1,4,,,,1,FALSE,FALSE,1|2|3|4|5,1,87,3,0,2,9|2|3|4|5,,0,1,4,3,2,TRUE,2,3,FALSE,TRUE,17,,FALSE,1,7,FALSE,FALSE,FALSE,38,30/08/2019
,57.9,1,4,,,,1,FALSE,FALSE,3|5,2,79,3,1,2,2|5|6|7,,0,2,15,7|3|11,2,TRUE,1,,TRUE,TRUE,3,,FALSE,1,1,FALSE,FALSE,FALSE,,
,77.3,2,4,,,,1,FALSE,FALSE,1|2|4,1,85,4,0,2,8|2|3|5|6,,0,3,13,3|11|12,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,28,FALSE,FALSE,FALSE,123,06/12/2019
,78.8,1,4,,,,1,FALSE,FALSE,2,2,76,3,0,2,8|2|5|6,,0,,3,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,59,16/09/2019
,91.7,1,5,,,,1,FALSE,FALSE,2|4|6,2,102,3,0,2,2,,0,2,11,7|11,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,FALSE,19,06/08/2019
,80.8,1,2,,,,2,FALSE,FALSE,1|2|6,2,185,3,0,2,8|2|4,,0,,10,7,2,FALSE,2,,FALSE,TRUE,13|17,,FALSE,1,6,FALSE,FALSE,FALSE,,
,78.3,2,4,,,,1,FALSE,FALSE,2|3,3,56,3,0,2,9|2|4|5|6,,1,1,11,11|12,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,FALSE,38,03/09/2019
,61.9,1,4,,,,1,FALSE,FALSE,3,2,59,3,0,2,8|2|5|6,,1,,41,3,2,TRUE,1,0,FALSE,FALSE,2,,FALSE,1,43,FALSE,FALSE,FALSE,60,17/09/2019
,74.3,1,4,,,,1,FALSE,FALSE,2,2,92,3,1,2,9|2|5|6,,0,1,9,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,16,FALSE,FALSE,FALSE,57,18/09/2019
,80.9,1,4,,,,,FALSE,FALSE,0,3,112,3,0,2,8|2,,0,,64,3|11,2,TRUE,2,1,FALSE,FALSE,17,,,1,5,FALSE,FALSE,FALSE,,
,55.3,1,4,,,,1,FALSE,FALSE,1|2|4,2,63,3,0,2,8|2|4|5|6,,0,2,5,3,1,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,FALSE,41,28/08/2019
,61.7,1,4,,,,1,FALSE,FALSE,1|4,1,70,3,0,2,9|2|4,,0,1,7,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,56,11/09/2019
,84.8,1,4,,,,1,FALSE,FALSE,2,2,103,3,0,2,8|2|4|5|6,,0,1,8,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,15,FALSE,FALSE,FALSE,42,03/09/2019
,71.9,1,4,,,,1,FALSE,FALSE,1|2,2,99,3,0,2,9|2|3,,0,2,4,3,2,TRUE,4,,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,FALSE,104,29/10/2019
,78.8,1,2,,,,0,FALSE,FALSE,1|2,3,85,3,0,2,8|2,,0,3,23,7,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,117,06/11/2019
,57.3,1,4,,,,2,FALSE,FALSE,2,1,81,3,0,2,9|2,,1,3,8,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,49,30/08/2019
,55.4,1,4,,,,1,FALSE,FALSE,1|2,1,106,3,0,2,9|2|5|6,,0,2,13,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,99,21/10/2019
,71.5,1,2,,,,2,FALSE,FALSE,1|4|8,2,95,3,0,2,9|2|3|6,,0,2,15,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,89,10/10/2019
,56.3,1,4,,,,1,FALSE,FALSE,1|2|3,1,79,3,0,2,8|2|3|4|5|6,,0,3,10,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,85.6,1,2,,,,1,FALSE,FALSE,2,2,134,2,0,2,8|2,,0,2,12,7|11,2,FALSE,2,2,FALSE,TRUE,17,,FALSE,1,7,FALSE,FALSE,FALSE,,
,88.3,1,2,,,,1,FALSE,FALSE,4|8,3,86,3,0,2,8|2|3|6,,0,2,20,3,2,TRUE,1,0,FALSE,FALSE,1,,FALSE,1,4,FALSE,FALSE,FALSE,188,17/01/2020
,79.2,1,3,,,,2,FALSE,FALSE,2|4|6,2,146,3,1,2,8|2|5|6|7,,0,1,14,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,82,01/10/2019
,79.4,2,4,,,,5,FALSE,FALSE,1|2|3|6|9,2,102,3,0,2,8|2|4|5|6,,0,2,26,7|11,2,FALSE,1,0,FALSE,FALSE,2,,FALSE,1,12,FALSE,FALSE,FALSE,89,14/10/2019
,80.9,2,4,,,,1,FALSE,FALSE,1|2|8,2,118,3,0,2,2|4,,0,,4,3,2,TRUE,1,0,FALSE,FALSE,0,,,1,5,FALSE,FALSE,FALSE,,
,50.7,1,4,,,,1,FALSE,FALSE,1|2|4,1,64,3,0,2,9|2|4|5|6,,1,2,7,7|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,FALSE,63,12/09/2019
,72.3,1,4,,,,1,FALSE,FALSE,1|6,3,125,2,0,2,9|2,,0,1,12,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,13,24/07/2019
,67.4,2,4,,,,1,FALSE,FALSE,2,1,70,2,0,2,9|2|5|6,,0,,17,3,2,TRUE,4,3,FALSE,FALSE,17,,FALSE,1,6,FALSE,FALSE,FALSE,,
,66.3,1,4,,,,2,FALSE,FALSE,1,3,123,4,0,2,9|2|5|6,,0,3,40,7|3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,65.3,2,4,,,,2,FALSE,FALSE,0,1,61,3,0,2,8|5,,0,1,4,11|12,2,FALSE,1,0,FALSE,FALSE,3,,FALSE,1,3,FALSE,TRUE,FALSE,64,09/09/2019
,76.3,1,3,,,,3,FALSE,FALSE,1|2,1,108,3,0,2,9|2|4,,0,,23,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,94,09/10/2019
,75.6,1,4,,,,1,FALSE,FALSE,4|5,3,113,4,0,2,9|2|3|4,,0,2,8,3,2,TRUE,2,2,FALSE,TRUE,13,,FALSE,1,25,FALSE,FALSE,FALSE,80,10/10/2019
,62.1,1,4,,,,1,FALSE,FALSE,1|2,2,62,3,0,2,8|2|4|5|6,,0,2,33,7|3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,124,06/11/2019
,63,1,4,,,,1,FALSE,FALSE,2|8,1,89,3,0,2,9|2|5|6,,0,1,6,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,48,23/08/2019
,82.9,1,2,,,,3,FALSE,FALSE,2,2,112,3,0,2,9|2|5,,0,2,28,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,51,27/08/2019
,84.3,1,4,,,,1,FALSE,FALSE,2|5,2,153,3,1,2,8|2|3|4|5|6,,0,2,45,11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,38,12/08/2019
,81,2,4,,,,1,FALSE,FALSE,2|3|6,2,93,3,0,2,8|2|4|5,,0,2,3,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,59,03/09/2019
,69,1,4,,,,1,FALSE,FALSE,1|2|4|6,2,76,3,0,2,8|2|4|5|6|7,,0,1,12,3|11,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,75.5,2,4,,,,2,FALSE,FALSE,1|2|3|4|5,2,78,3,0,2,8|2|3|5|6,,0,3,19,7,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,FALSE,63,06/09/2019
,73.3,1,4,,,,1,FALSE,FALSE,2,2,80,3,0,2,9|2|4,,0,1,26,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,21,FALSE,FALSE,FALSE,93,24/10/2019
,79.7,1,2,,,,1,FALSE,FALSE,1|2|3|4|9,2,67,3,0,2,8|2|4|5|6,,0,2,7,7,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,61,02/09/2019
,86.3,2,4,,,,1,FALSE,FALSE,2,3,98,3,1,2,8|2|3|4,,1,1,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,69,10/09/2019
,86.3,1,4,,,,1,FALSE,FALSE,1|2|3|4,2,108,3,1,2,9|2|5|6,,0,2,9,7,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,56,29/08/2019
,80.1,1,4,,,,3,FALSE,FALSE,2|4,2,81,3,1,2,8|7,,0,2,7,11,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,,
,74.2,1,4,,,,1,FALSE,FALSE,2|5,,231,3,0,2,8|2|3,,0,,9,3,1,FALSE,2,0,FALSE,FALSE,0,,TRUE,1,5,FALSE,TRUE,FALSE,,
,69.3,1,4,,,,3,FALSE,FALSE,2|3,2,59,3,0,2,8|2|4,,0,,21,3,2,TRUE,1,0,FALSE,FALSE,0,,,1,3,FALSE,FALSE,FALSE,,
,87,2,4,,,,1,FALSE,FALSE,2,3,70,3,0,2,8|2|5|6,,0,,9,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,48,19/08/2019
,74.5,2,4,,,,4,FALSE,FALSE,1|2,3,80,3,0,2,9|2|5|6,,0,3,3,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,83,20/09/2019
,85.1,1,4,,,,1,FALSE,FALSE,2,1,100,2,1,2,8,,1,2,29,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,62,29/08/2019
,62.6,1,3,,,,1,FALSE,FALSE,2|4,3,73,3,0,2,8|2|5|6,,0,1,13,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,FALSE,53,20/08/2019
,56.3,1,3,,,,1,FALSE,FALSE,2|4,1,84,3,0,2,9|2,,0,2,13,3,2,TRUE,4,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,4,04/07/2019
,64.3,1,4,,,,,FALSE,FALSE,2,3,70,3,0,2,8|2,,0,,41,3,2,FALSE,1,0,FALSE,FALSE,17,,,1,2,FALSE,FALSE,FALSE,,
,67.2,1,4,,,,1,FALSE,FALSE,2,3,75,3,1,2,8|2|4|7,,0,,26,3|11,2,TRUE,1,0,FALSE,FALSE,0,,,1,5,FALSE,FALSE,FALSE,,
,66.1,1,4,,,,1,FALSE,FALSE,1,2,56,3,0,2,9|2|5|6,,0,1,7,3|11,2,TRUE,1,1,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,44,15/08/2019
,72.8,1,4,,,,1,FALSE,FALSE,2|3,2,89,3,1,2,2|7,,0,1,10,3|11,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,32,29/07/2019
,70.1,1,4,,,,1,FALSE,FALSE,2,3,81,3,0,2,9|2,,0,1,33,3|11,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,27,24/07/2019
,77.3,1,4,,,,1,FALSE,FALSE,2,3,23,3,0,2,8|2,,0,2,10,7|3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,49,14/08/2019
,60.3,1,4,,,,4,FALSE,FALSE,2,,96,3,0,2,4,,0,,45,3,2,TRUE,1,0,FALSE,FALSE,0,,,1,5,FALSE,FALSE,FALSE,,
,67.9,1,3,,,,1,FALSE,FALSE,2|4|9,2,103,3,0,2,8|2|3|4|5|6,,0,2,17,3,3,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,49,14/08/2019
,52.8,2,2,,,,1,FALSE,TRUE,1|9,3,72,2,0,2,8|4|5|6,,0,2,9,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,15,FALSE,FALSE,FALSE,98,04/10/2019
,73.3,1,1,,,,5,FALSE,FALSE,2|4,2,73,3,1,2,2|9,,0,3,121,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,4,,,,,
,69.9,1,2,,,,1,FALSE,FALSE,1|6,2,56,3,0,2,9|2|5,,0,3,5,3|11,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,TRUE,TRUE,TRUE,,
,63.1,1,4,,,,1,FALSE,FALSE,0,2,87,3,0,2,9|2|5|6,,0,2,9,7|11,2,TRUE,1,0,FALSE,FALSE,17,,FALSE,1,10,FALSE,FALSE,FALSE,64,23/08/2019
,71.6,1,4,,,,1,FALSE,FALSE,2|4,2,78,3,0,2,9|2|4|5|6,,0,2,15,3|11,2,TRUE,1,0,FALSE,FALSE,17,,FALSE,1,15,FALSE,FALSE,FALSE,144,25/11/2019
,50.5,2,4,,,,5,FALSE,FALSE,0,1,59,3,0,2,8|2|5|6,,0,1,7,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,,
,59.1,2,4,,,,1,FALSE,FALSE,1|2|4,1,59,2,0,2,8|2|3|4|5|6,,0,1,3,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,82,09/09/2019
,72.7,1,4,,,,5,FALSE,FALSE,1|2|3|4|5|9,1,73,3,0,2,9|2|3|4|5|6,,0,3,13,3|11,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,17,FALSE,FALSE,FALSE,78,10/09/2019
,68.2,2,4,,,,2,FALSE,FALSE,2,2,43,3,0,2,8|2|5|6,,0,,7,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,FALSE,67,27/08/2019
,72.6,1,4,,,,1,TRUE,FALSE,2,2,86,2,0,2,8|2|5|6,,1,1,10,7|3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,74.9,2,2,,,,1,FALSE,TRUE,2,2,65,3,0,2,8|2|4,,0,2,14,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,FALSE,90,18/09/2019
,71.9,1,4,,,,1,FALSE,FALSE,1|4,1,161,3,0,2,9|2|3|4,,1,3,8,7,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,22,FALSE,FALSE,FALSE,61,28/08/2019
,70.7,1,4,,,,3,FALSE,FALSE,4,2,72,4,0,2,8|3,,0,2,27,12,2,FALSE,1,0,FALSE,FALSE,0,,TRUE,1,31,FALSE,FALSE,FALSE,43,30/07/2019
,79,1,4,,,,1,FALSE,FALSE,4|6,2,162,2,0,2,9|2|5|6,,0,2,20,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,65,19/08/2019
,73.4,1,2,,,,3,FALSE,FALSE,2|4|5|6,1,125,3,0,2,9|2|3|4|5|6,,0,1,8,7|11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,34,19/07/2019
,84,2,4,,,,1,FALSE,FALSE,2,3,58,3,0,2,9|2|3|5|6,,0,1,18,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,50,06/08/2019
,77.8,2,4,,,,1,FALSE,FALSE,2|3,2,89,3,0,2,8|2|5|6,,0,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,76.5,1,2,,,,1,FALSE,FALSE,2,3,113,3,0,2,8|2|4|5|6|7,,0,1,14,7,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,29,15/07/2019
,58.1,1,4,,,,1,FALSE,FALSE,2,1,92,3,0,2,9|2,,0,1,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,53,06/08/2019
,83.2,1,4,,,,1,FALSE,FALSE,0,2,94,3,0,2,9|2,,0,2,11,7,3,FALSE,2,1,FALSE,FALSE,1,,FALSE,1,2,FALSE,FALSE,FALSE,39,22/07/2019
,77.2,1,4,,,,1,FALSE,FALSE,2|3|4|6,2,158,3,1,2,5|7,,0,1,18,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,13,FALSE,FALSE,FALSE,36,19/07/2019
,74.7,2,4,,,,2,FALSE,FALSE,2,2,71,3,0,2,8|2,,0,,64,3,2,FALSE,1,0,FALSE,FALSE,0,,,1,2,FALSE,FALSE,FALSE,,
,78.9,2,2,,,,1,FALSE,FALSE,2|4,2,87,3,0,2,8,,0,1,11,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,90,10/09/2019
,56.3,2,4,,,,5,FALSE,FALSE,0,3,47,3,0,2,8|5,,0,,11,3,2,TRUE,1,0,FALSE,FALSE,17,,FALSE,1,14,FALSE,FALSE,FALSE,,
,69.6,2,4,,,,1,FALSE,FALSE,2|6,2,133,3,0,2,8|2|5|6,,0,1,9,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,FALSE,44,31/07/2019
,57.7,1,4,,,,1,FALSE,FALSE,2,1,82,3,0,2,8|2|4|5|6,,1,1,6,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,49,02/08/2019
,71.6,1,4,,,,1,FALSE,FALSE,6,2,112,3,0,2,8|2|5|6,,0,1,11,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,59,07/08/2019
,78.5,1,4,,,,2,FALSE,FALSE,1|2|4,3,74,3,0,2,8|2|5|6,,0,1,12,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,71.7,1,4,,,,,FALSE,FALSE,0,,75,3,0,2,,,0,,10,3,2,TRUE,1,0,FALSE,FALSE,0,,,1,2,FALSE,FALSE,FALSE,,
,56.7,1,2,,,,2,FALSE,FALSE,0,1,78,3,0,2,9|2|5|6,,0,1,12,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,144,30/10/2019
,56.7,1,2,,,,2,FALSE,FALSE,0,1,78,3,0,2,9|2|5|6,,0,1,12,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,80.3,1,4,,,,1,FALSE,FALSE,2|9,2,111,3,1,2,9|4|5|6,,0,,13,3,2,TRUE,2,1,TRUE,TRUE,5,,FALSE,1,6,FALSE,FALSE,FALSE,,
